id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
dc	S	District of Columbia Court of Appeals	District of Columbia Court of Appeals	t			
dcb	FB	United States Bankruptcy Court, District of Columbia	District of Columbia	t			
dccrimct	ST	District of Columbia Criminal Court	District of Columbia Criminal Court	f			
dcd	FD	District Court, District of Columbia	District of Columbia	t			usdistct
dcorphanct	SS	District of Columbia Orphans' Court	District of Columbia Orphans' Court	f			
deb	FB	United States Bankruptcy Court, D. Delaware	D. Delaware	t			
ded	FD	District Court, D. Delaware	D. Delaware	t			usdistct
del	S	Supreme Court of Delaware	Supreme Court of Delaware	t	1832-01-01		
delch	SA	Court of Chancery of Delaware	Court of Chancery of Delaware	t			
delctcompl	SS	Delaware Court of Common Pleas	Delaware Court of Common Pleas	t			
delfamct	SS	Delaware Family Court	Delaware Family Court	t			
delgensess	ST	Court of General Sessions of The Peace And Jail Delivery of Delaware	Court of General Sessions of Delaware	f			
deljudct	SS	Court on the Judiciary of Delaware.	Court on the Judiciary of Delaware	t			
delorphct	SA	Orphan's Court of Delaware	Delaware Orphan's Court	t	1683-01-01	1970-12-31	
deloyerterm	ST	Delaware Court of Oyer and Terminer	Delaware Court of Oyer and Terminer	f	1831-01-01	1951-12-31	
delsuperct	SA	Superior Court of Delaware	Superior Court of Delaware	t			
deptinterior	FS	Department of Interior	Department of Interior	f			
eca	FS	Emergency Court of Appeals	Emergency Court of Appeals	t	1942-01-30	1962-04-18	
echerkokee	TRS	Eastern Band of Cherokee Indians Supreme Court	Eastern Band of Cherokee Indians Supreme Court	t			
echerokeect	TRT	Eastern Band of Cherokee Indians Tribal Court	Eastern Band of Cherokee Indians Tribal Court	t			
fcc	C	Decisions of the Federal Communications Commission	Decisions of the Federal Communications Commission	f			
fisc	FS	Foreign Intelligence Surveillance Court	Foreign Intelligence Surveillance Court	t	1978-10-25		
fiscr	FS	Foreign Intelligence Surveillance Court of Review	Foreign Intelligence Surveillance Court of Review	t	1978-10-25		
fla	S	Supreme Court of Florida	Supreme Court of Florida	t	1845-01-01		
flaag	SAG	Florida Attorney General Reports	Florida Attorney General Reports	t			
flacirct	ST	Circuit Court for the Judicial Circuits of Florida	Florida Circuit Courts	f	1973-01-01		
flacirct1	ST	Circuit Court of the 1st Judicial Circuit of Florida	Circuit Court of the 1st Judicial Circuit	f	1973-01-01		flacirct
flacirct10	ST	Circuit Court of the 10th Judicial Circuit of Florida	Circuit Court of the 10th Judicial Circuit	f	1973-01-01		flacirct
flacirct10har	ST	Circuit Court of the 10th Judicial Circuit of Florida, Hardee County	Hardee County Circuit Court	f	1973-01-01		flacirct10
flacirct10hig	ST	Circuit Court of the 10th Judicial Circuit of Florida, Highlands County	Highlands County Circuit Court	f	1973-01-01		flacirct10
flacirct10pol	ST	Circuit Court of the 10th Judicial Circuit of Florida, Polk County	Polk County Circuit Court	f	1973-01-01		flacirct10
flacirct11	ST	Circuit Court of the 11th Judicial Circuit of Florida	Circuit Court of the 11th Judicial Circuit	f	1973-01-01		flacirct
flacirct11mia	ST	Circuit Court of the 11th Judicial Circuit of Florida, Miami-Dade County	Miami-Dade County Circuit Court	f	1973-01-01		flacirct11
flacirct12	ST	Circuit Court of the 12th Judicial Circuit of Florida	Circuit Court of the 12th Judicial Circuit	f	1973-01-01		flacirct
flacirct12des	ST	Circuit Court of the 12th Judicial Circuit of Florida, De Soto County	De Soto County Circuit Court	f	1973-01-01		flacirct12
flacirct12man	ST	Circuit Court of the 12th Judicial Circuit of Florida, Manatee County	Manatee County Circuit Court	f	1973-01-01		flacirct12
flacirct12sar	ST	Circuit Court of the 12th Judicial Circuit of Florida, Sarasota County	Sarasota County Circuit Court	f	1973-01-01		flacirct12
flacirct13	ST	Circuit Court of the 13th Judicial Circuit of Florida	Circuit Court of the 13th Judicial Circuit	f	1973-01-01		flacirct
flacirct13hil	ST	Circuit Court of the 13th Judicial Circuit of Florida, Hillsborough County	Hillsborough County Circuit Court	f	1973-01-01		flacirct13
flacirct14	ST	Circuit Court of the 14th Judicial Circuit of Florida	Circuit Court of the 14th Judicial Circuit	f	1973-01-01		flacirct
flacirct14bay	ST	Circuit Court of the 14th Judicial Circuit of Florida, Bay County	Bay County Circuit Court	f	1973-01-01		flacirct14
flacirct14cal	ST	Circuit Court of the 14th Judicial Circuit of Florida, Calhoun County	Calhoun County Circuit Court	f	1973-01-01		flacirct14
flacirct14gul	ST	Circuit Court of the 14th Judicial Circuit of Florida, Gulf County	Gulf County Circuit Court	f	1973-01-01		flacirct14
flacirct14hol	ST	Circuit Court of the 14th Judicial Circuit of Florida, Holmes County	Holmes County Circuit Court	f	1973-01-01		flacirct14
flacirct14jac	ST	Circuit Court of the 14th Judicial Circuit of Florida, Jackson County	Jackson County Circuit Court	f	1973-01-01		flacirct14
flacirct14was	ST	Circuit Court of the 14th Judicial Circuit of Florida, Washington County	Washington County Circuit Court	f	1973-01-01		flacirct14
flacirct15	ST	Circuit Court of the 15th Judicial Circuit of Florida	Circuit Court of the 15th Judicial Circuit	f	1973-01-01		flacirct
flacirct15pal	ST	Circuit Court of the 15th Judicial Circuit of Florida, Palm Beach County	Palm Beach County Circuit Court	f	1973-01-01		flacirct15
flacirct16	ST	Circuit Court of the 16th Judicial Circuit of Florida	Circuit Court of the 16th Judicial Circuit	f	1973-01-01		flacirct
flacirct16mon	ST	Circuit Court of the 16th Judicial Circuit of Florida, Monroe County	Monroe County Circuit Court	f	1973-01-01		flacirct16
flacirct17	ST	Circuit Court of the 17th Judicial Circuit of Florida	Circuit Court of the 17th Judicial Circuit	f	1973-01-01		flacirct
flacirct17bro	ST	Circuit Court of the 17th Judicial Circuit of Florida, Broward County	Broward County Circuit Court	f	1973-01-01		flacirct17
flacirct18	ST	Circuit Court of the 18th Judicial Circuit of Florida	Circuit Court of the 18th Judicial Circuit	f	1973-01-01		flacirct
flacirct18bre	ST	Circuit Court of the 18th Judicial Circuit of Florida, Brevard County	Brevard County Circuit Court	f	1973-01-01		flacirct18
flacirct18sem	ST	Circuit Court of the 18th Judicial Circuit of Florida, Seminole County	Seminole County Circuit Court	f	1973-01-01		flacirct18
flacirct19	ST	Circuit Court of the 19th Judicial Circuit of Florida	Circuit Court of the 19th Judicial Circuit	f	1973-01-01		flacirct
flacirct19ind	ST	Circuit Court of the 19th Judicial Circuit of Florida, Indian River County	Indian River County Circuit Court	f	1973-01-01		flacirct19
flacirct19mar	ST	Circuit Court of the 19th Judicial Circuit of Florida, Martin County	Martin County Circuit Court	f	1973-01-01		flacirct19
flacirct19oke	ST	Circuit Court of the 19th Judicial Circuit of Florida, Okeechobee County	Okeechobee County Circuit Court	f	1973-01-01		flacirct19
flacirct19stl	ST	Circuit Court of the 19th Judicial Circuit of Florida, St. Lucie County	St. Lucie County Circuit Court	f	1973-01-01		flacirct19
flacirct1esc	ST	Circuit Court of the 1st Judicial Circuit of Florida, Escambia County	Escambia County Circuit Court	f	1973-01-01		flacirct1
flacirct1oka	ST	Circuit Court of the 1st Judicial Circuit of Florida, Okaloosa County	Okaloosa County Circuit Court	f	1973-01-01		flacirct1
flacirct1san	ST	Circuit Court of the 1st Judicial Circuit of Florida, Santa Rosa County	Santa Rosa County Circuit Court	f	1973-01-01		flacirct1
flacirct1wal	ST	Circuit Court of the 1st Judicial Circuit of Florida, Walton County	Walton County Circuit Court	f	1973-01-01		flacirct1
flacirct2	ST	Circuit Court of the 2nd Judicial Circuit of Florida	Circuit Court of the 2nd Judicial Circuit	f	1973-01-01		flacirct
flacirct20	ST	Circuit Court of the 20th Judicial Circuit of Florida	Circuit Court of the 20th Judicial Circuit	f	1973-01-01		flacirct
flacirct20cha	ST	Circuit Court of the 20th Judicial Circuit of Florida, Charlotte County	Charlotte County Circuit Court	f	1973-01-01		flacirct20
flacirct20col	ST	Circuit Court of the 20th Judicial Circuit of Florida, Collier County	Collier County Circuit Court	f	1973-01-01		flacirct20
flacirct20gla	ST	Circuit Court of the 20th Judicial Circuit of Florida, Glades County	Glades County Circuit Court	f	1973-01-01		flacirct20
flacirct20hen	ST	Circuit Court of the 20th Judicial Circuit of Florida, Hendry County	Hendry County Circuit Court	f	1973-01-01		flacirct20
flacirct20lee	ST	Circuit Court of the 20th Judicial Circuit of Florida, Lee County	Lee County Circuit Court	f	1973-01-01		flacirct20
flacirct2fra	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Franklin County	Franklin County Circuit Court	f	1973-01-01		flacirct2
flacirct2gad	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Gadsden County	Gadsden County Circuit Court	f	1973-01-01		flacirct2
flacirct2jef	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Jefferson County	Jefferson County Circuit Court	f	1973-01-01		flacirct2
flacirct2leo	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Leon County	Leon County Circuit Court	f	1973-01-01		flacirct2
flacirct2lib	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Liberty County	Liberty County Circuit Court	f	1973-01-01		flacirct2
flacirct2wak	ST	Circuit Court of the 2nd Judicial Circuit of Florida, Wakulla County	Wakulla County Circuit Court	f	1973-01-01		flacirct2
flacirct3	ST	Circuit Court of the 3rd Judicial Circuit of Florida	Circuit Court of the 3rd Judicial Circuit	f	1973-01-01		flacirct
flacirct3col	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Columbia County	Columbia County Circuit Court	f	1973-01-01		flacirct3
flacirct3dix	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Dixie County	Dixie County Circuit Court	f	1973-01-01		flacirct3
flacirct3ham	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Hamilton County	Hamilton County Circuit Court	f	1973-01-01		flacirct3
flacirct3laf	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Lafayette County	Lafayette County Circuit Court	f	1973-01-01		flacirct3
flacirct3mad	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Madison County	Madison County Circuit Court	f	1973-01-01		flacirct3
flacirct3suw	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Suwannee County	Suwannee County Circuit Court	f	1973-01-01		flacirct3
flacirct3tay	ST	Circuit Court of the 3rd Judicial Circuit of Florida, Taylor County	Taylor County Circuit Court	f	1973-01-01		flacirct3
flacirct4	ST	Circuit Court of the 4th Judicial Circuit of Florida	Circuit Court of the 4th Judicial Circuit	f	1973-01-01		flacirct
flacirct4cla	ST	Circuit Court of the 4th Judicial Circuit of Florida, Clay County	Clay County Circuit Court	f	1973-01-01		flacirct4
flacirct4duv	ST	Circuit Court of the 4th Judicial Circuit of Florida, Duval County	Duval County Circuit Court	f	1973-01-01		flacirct4
flacirct4nas	ST	Circuit Court of the 4th Judicial Circuit of Florida, Nassau County	Nassau County Circuit Court	f	1973-01-01		flacirct4
flacirct5	ST	Circuit Court of the 5th Judicial Circuit of Florida	Circuit Court of the 5th Judicial Circuit	f	1973-01-01		flacirct
flacirct5cit	ST	Circuit Court of the 5th Judicial Circuit of Florida, Citrus County	Citrus County Circuit Court	f	1973-01-01		flacirct5
flacirct5her	ST	Circuit Court of the 5th Judicial Circuit of Florida, Hernando County	Hernando County Circuit Court	f	1973-01-01		flacirct5
flacirct5lak	ST	Circuit Court of the 5th Judicial Circuit of Florida, Lake County	Lake County Circuit Court	f	1973-01-01		flacirct5
flacirct5mar	ST	Circuit Court of the 5th Judicial Circuit of Florida, Marion County	Marion County Circuit Court	f	1973-01-01		flacirct5
flacirct5sum	ST	Circuit Court of the 5th Judicial Circuit of Florida, Sumter County	Sumter County Circuit Court	f	1973-01-01		flacirct5
flacirct6	ST	Circuit Court of the 6th Judicial Circuit of Florida	Circuit Court of the 6th Judicial Circuit	f	1973-01-01		flacirct
flacirct6pas	ST	Circuit Court of the 6th Judicial Circuit of Florida, Pasco County	Pasco County Circuit Court	f	1973-01-01		flacirct6
flacirct6pin	ST	Circuit Court of the 6th Judicial Circuit of Florida, Pinellas County	Pinellas County Circuit Court	f	1973-01-01		flacirct6
flacirct7	ST	Circuit Court of the 7th Judicial Circuit of Florida	Circuit Court of the 7th Judicial Circuit	f	1973-01-01		flacirct
flacirct7fla	ST	Circuit Court of the 7th Judicial Circuit of Florida, Flagler County	Flagler County Circuit Court	f	1973-01-01		flacirct7
flacirct7put	ST	Circuit Court of the 7th Judicial Circuit of Florida, Putnam County	Putnam County Circuit Court	f	1973-01-01		flacirct7
flacirct7stj	ST	Circuit Court of the 7th Judicial Circuit of Florida, St. Johns County	St. Johns County Circuit Court	f	1973-01-01		flacirct7
flacirct7vol	ST	Circuit Court of the 7th Judicial Circuit of Florida, Volusia County	Volusia County Circuit Court	f	1973-01-01		flacirct7
flacirct8	ST	Circuit Court of the 8th Judicial Circuit of Florida	Circuit Court of the 8th Judicial Circuit	f	1973-01-01		flacirct
flacirct8ala	ST	Circuit Court of the 8th Judicial Circuit of Florida, Alachua County	Alachua County Circuit Court	f	1973-01-01		flacirct8
flacirct8bak	ST	Circuit Court of the 8th Judicial Circuit of Florida, Baker County	Baker County Circuit Court	f	1973-01-01		flacirct8
flacirct8bra	ST	Circuit Court of the 8th Judicial Circuit of Florida, Bradford County	Bradford County Circuit Court	f	1973-01-01		flacirct8
flacirct8gil	ST	Circuit Court of the 8th Judicial Circuit of Florida, Gilchrist County	Gilchrist County Circuit Court	f	1973-01-01		flacirct8
flacirct8lev	ST	Circuit Court of the 8th Judicial Circuit of Florida, Levy County	Levy County Circuit Court	f	1973-01-01		flacirct8
flacirct8uni	ST	Circuit Court of the 8th Judicial Circuit of Florida, Union County	Union County Circuit Court	f	1973-01-01		flacirct8
flacirct9	ST	Circuit Court of the 9th Judicial Circuit of Florida	Circuit Court of the 9th Judicial Circuit	f	1973-01-01		flacirct
flacirct9ora	ST	Circuit Court of the 9th Judicial Circuit of Florida, Orange County	Orange County Circuit Court	f	1973-01-01		flacirct9
flacirct9osc	ST	Circuit Court of the 9th Judicial Circuit of Florida, Osceola County	Osceola County Circuit Court	f	1973-01-01		flacirct9
flactyct	ST	Florida County Courts	Florida County Courts	f		1972-12-31	
flactyct1	ST	Alachua County Court	Alachua County Court	f		1972-12-31	flactyct
flactyct10	ST	Clay County Court	Clay County Court	f		1972-12-31	flactyct
flactyct11	ST	Collier County Court	Collier County Court	f		1972-12-31	flactyct
flactyct12	ST	Columbia County Court	Columbia County Court	f		1972-12-31	flactyct
flactyct13	ST	De Soto County Court	De Soto County Court	f		1972-12-31	flactyct
flactyct14	ST	Dixie County Court	Dixie County Court	f		1972-12-31	flactyct
flactyct15	ST	Duval County Court	Duval County Court	f		1972-12-31	flactyct
flactyct16	ST	Escambia County Court	Escambia County Court	f		1972-12-31	flactyct
flactyct17	ST	Flagler County Court	Flagler County Court	f		1972-12-31	flactyct
flactyct18	ST	Franklin County Court	Franklin County Court	f		1972-12-31	flactyct
flactyct19	ST	Gadsden County Court	Gadsden County Court	f		1972-12-31	flactyct
flactyct2	ST	Baker County Court	Baker County Court	f		1972-12-31	flactyct
flactyct20	ST	Gilchrist County Court	Gilchrist County Court	f		1972-12-31	flactyct
flactyct21	ST	Glades County Court	Glades County Court	f		1972-12-31	flactyct
flactyct22	ST	Gulf County Court	Gulf County Court	f		1972-12-31	flactyct
flactyct23	ST	Hamilton County Court	Hamilton County Court	f		1972-12-31	flactyct
flactyct24	ST	Hardee County Court	Hardee County Court	f		1972-12-31	flactyct
flactyct25	ST	Hendry County Court	Hendry County Court	f		1972-12-31	flactyct
flactyct26	ST	Hernando County Court	Hernando County Court	f		1972-12-31	flactyct
flactyct27	ST	Highlands County Court	Highlands County Court	f		1972-12-31	flactyct
flactyct28	ST	Hillsborough County Court	Hillsborough County Court	f		1972-12-31	flactyct
flactyct29	ST	Holmes County Court	Holmes County Court	f		1972-12-31	flactyct
flactyct3	ST	Bay County Court	Bay County Court	f		1972-12-31	flactyct
flactyct30	ST	Indian River County Court	Indian River County Court	f		1972-12-31	flactyct
flactyct31	ST	Jackson County Court	Jackson County Court	f		1972-12-31	flactyct
flactyct32	ST	Jefferson County Court	Jefferson County Court	f		1972-12-31	flactyct
flactyct33	ST	Lafayette County Court	Lafayette County Court	f		1972-12-31	flactyct
flactyct34	ST	Lake County Court	Lake County Court	f		1972-12-31	flactyct
flactyct35	ST	Lee County Court	Lee County Court	f		1972-12-31	flactyct
flactyct36	ST	Leon County Court	Leon County Court	f		1972-12-31	flactyct
flactyct37	ST	Levy County Court	Levy County Court	f		1972-12-31	flactyct
flactyct38	ST	Liberty County Court	Liberty County Court	f		1972-12-31	flactyct
flactyct39	ST	Madison County Court	Madison County Court	f		1972-12-31	flactyct
flactyct4	ST	Bradford County Court	Bradford County Court	f		1972-12-31	flactyct
flactyct40	ST	Manatee County Court	Manatee County Court	f		1972-12-31	flactyct
flactyct41	ST	Marion County Court	Marion County Court	f		1972-12-31	flactyct
flactyct42	ST	Martin County Court	Martin County Court	f		1972-12-31	flactyct
flactyct43	ST	Miami-Dade County Court	Miami-Dade County Court	f		1972-12-31	flactyct
flactyct44	ST	Monroe County Court	Monroe County Court	f		1972-12-31	flactyct
flactyct45	ST	Nassau County Court	Nassau County Court	f		1972-12-31	flactyct
flactyct46	ST	Okaloosa County Court	Okaloosa County Court	f		1972-12-31	flactyct
flactyct47	ST	Okeechobee County Court	Okeechobee County Court	f		1972-12-31	flactyct
flactyct48	ST	Orange County Court	Orange County Court	f		1972-12-31	flactyct
flactyct49	ST	Osceola County Court	Osceola County Court	f		1972-12-31	flactyct
flactyct5	ST	Brevard County Court	Brevard County Court	f		1972-12-31	flactyct
flactyct50	ST	Palm Beach County Court	Palm Beach County Court	f		1972-12-31	flactyct
flactyct51	ST	Pasco County Court	Pasco County Court	f		1972-12-31	flactyct
flactyct52	ST	Pinellas County Court	Pinellas County Court	f		1972-12-31	flactyct
flactyct53	ST	Polk County Court	Polk County Court	f		1972-12-31	flactyct
flactyct54	ST	Putnam County Court	Putnam County Court	f		1972-12-31	flactyct
flactyct55	ST	St. Johns County Court	St. Johns County Court	f		1972-12-31	flactyct
flactyct56	ST	St. Lucie County Court	St. Lucie County Court	f		1972-12-31	flactyct
flactyct57	ST	Santa Rosa County Court	Santa Rosa County Court	f		1972-12-31	flactyct
flactyct58	ST	Sarasota County Court	Sarasota County Court	f		1972-12-31	flactyct
flactyct59	ST	Seminole County Court	Seminole County Court	f		1972-12-31	flactyct
flactyct6	ST	Broward County Court	Broward County Court	f		1972-12-31	flactyct
flactyct60	ST	Sumter County Court	Sumter County Court	f		1972-12-31	flactyct
flactyct61	ST	Suwannee County Court	Suwannee County Court	f		1972-12-31	flactyct
flactyct62	ST	Taylor County Court	Taylor County Court	f		1972-12-31	flactyct
flactyct63	ST	Union County Court	Union County Court	f		1972-12-31	flactyct
flactyct64	ST	Volusia County Court	Volusia County Court	f		1972-12-31	flactyct
flactyct65	ST	Wakulla County Court	Wakulla County Court	f		1972-12-31	flactyct
flactyct66	ST	Walton County Court	Walton County Court	f		1972-12-31	flactyct
flactyct67	ST	Washington County Court	Washington County Court	f		1972-12-31	flactyct
flactyct7	ST	Calhoun County Court	Calhoun County Court	f		1972-12-31	flactyct
flactyct8	ST	Charlotte County Court	Charlotte County Court	f		1972-12-31	flactyct
flactyct9	ST	Citrus County Court	Citrus County Court	f		1972-12-31	flactyct
flactyctrec	ST	Florida's Civil and Criminal Court of Records	Florida's Civil and Criminal Court of Records	f		1972-12-31	
flactyctrec1	ST	Duval County Civil and Criminal Court of Record	Duval County Court of Record	f		1972-12-31	flactyctrec
flactyctrec2	ST	Palm Beach County Civil and Criminal Court of Record	Palm Beach County Court of Record	f		1972-12-31	flactyctrec
flactyctrec3	ST	Pinellas County Civil and Criminal Court of Record	Pinellas County Court of Record	f		1972-12-31	flactyctrec
flactyctrec4	ST	Escambia County Civil and Criminal Court of Record	Escambia County Court of Record	f		1972-12-31	flactyctrec
flactyctrec5	ST	Brevard County Civil and Criminal Court of Record	Brevard County Court of Record	f		1972-12-31	flactyctrec
flactyctrec6	ST	Dade County Civil and Criminal Court of Record	Dade County Court of Record	f		1972-12-31	flactyctrec
flactyctrec7	ST	Broward County Civil and Criminal Court of Record	Broward County Court of Record	f		1972-12-31	flactyctrec
fladeptenvreg	SS	State of Florida Department of Environmental Regulation	State of Florida Department of Environmental Regulation	f			
fladepthrehabil	SS	Florida Department of Health and Rehabilitative Services	Florida Department of Health and Rehabilitative Services	f			
fladeptrev	SS	State of Florida Department of Revenue	State of Florida Department of Revenue	f			
fladistctapp	SA	District Court of Appeal of Florida	District Court of Appeal of Florida	t	1957-01-01		
fladistctapp1	SA	Florida First District Court of Appeal	Florida First District Court of Appeal	f	1957-01-01		fladistctapp
fladistctapp2	SA	Florida Second District Court of Appeal	Florida Second District Court of Appeal	f	1957-01-01		fladistctapp
fladistctapp3	SA	Florida Third District Court of Appeal	Florida Third District Court of Appeal	f	1957-01-01		fladistctapp
fladistctapp4	SA	Florida Fourth District Court of Appeal	Florida Fourth District Court of Appeal	f	1957-01-01		fladistctapp
fladistctapp5	SA	Florida Fifth District Court of Appeal	Florida Fifth District Court of Appeal	f	1957-01-01		fladistctapp
fladistctapp6	SA	Florida Sixth District Court of Appeal	Florida Sixth District Court of Appeal	f	2023-01-01		fladistctapp
fladivadminhrg	SS	State of Florida Division of Administrative Hearings	State of Florida Division of Administrative Hearings	f			
flaindcommn	SS	Florida Industrial Commission	Florida Industrial Commission	f	1935-01-01	1969-12-31	
flajudct	ST	Florida Judge's Courts	Florida Judge's Courts	f		1972-12-31	
flajudct1	ST	Charlotte County Judge's Court	Charlotte County Judge's Court	f		1972-12-31	flajudct
flajudct10	ST	Pinellas County Judge's Court	Pinellas County Judge's Court	f		1972-12-31	flajudct
flajudct11	ST	Monroe County Judge Court	Monroe County Judge Court	f		1972-12-31	flajudct
flajudct12	ST	Palm Beach County Judge's Court	Palm Beach County Judge's Court	f		1972-12-31	flajudct
flajudct13	ST	Duval County Judge's Court	Duval County Judge's Court	f		1972-12-31	flajudct
flajudct14	ST	Sarasota County Judge's Court	Sarasota County Judge's Court	f		1972-12-31	flajudct
flajudct2	ST	Dade County Judge's Court	Dade County Judge's Court	f		1972-12-31	flajudct
flajudct3	ST	Hamilton County Judge's Court	Hamilton County Judge's Court	f		1972-12-31	flajudct
flajudct4	ST	Orange County Judge's Court	Orange County Judge's Court	f		1972-12-31	flajudct
flajudct5	ST	Lee County Judge's Court	Lee County Judge's Court	f		1972-12-31	flajudct
flajudct6	ST	Volusia County Judge's Court	Volusia County Judge's Court	f		1972-12-31	flajudct
flajudct7	ST	Suwannee County Judge's Court	Suwannee County Judge's Court	f		1972-12-31	flajudct
flajudct8	ST	Lake County Judge's Court	Lake County Judge's Court	f		1972-12-31	flajudct
flajudct9	ST	Broward County Judge's Court	Broward County Judge's Court	f		1972-12-31	flajudct
flajuv	ST	Florida Juvenile and Domestic Relations Court	Florida Juvenile and Domestic Relations Court	f		1972-12-31	
flajuv1	ST	Palm Beach County Juvenile and Domestic Relations Court	Palm Beach County Juvenile and Domestic Relations Court	f		1972-12-31	flajuv
flamunict	ST	Florida Municipal Courts	Florida Municipal Courts	f		1977-12-31	
flamunict1	ST	Miami Beach Municipal Court	Miami Beach Municipal Court	f		1977-12-31	flamunict
flamunict2	ST	Surfside Municipal Court	Surfside Municipal Court	f		1977-12-31	flamunict
flamunict3	ST	Miami Municipal Court	Miami Municipal Court	f		1977-12-31	flamunict
flapubserv	SS	Florida Public Service Commission	Florida Public Service Commission	f	1887-01-01		
flarealestcommn	SS	Florida Real Estate Commission	Florida Real Estate Commission	f			
flasmclct	ST	Florida Small Claims Courts	Florida Small Claims Courts	f		1972-12-31	
flasmclct1	ST	Broward County Small Claims Court	Broward County Small Claims Court	f		1972-12-31	flasmclct
flasmclct2	ST	Palm Beach County Small Claims Court	Palm Beach County Small Claims Court	f		1972-12-31	flasmclct
flasmclct3	ST	Dade County Small Claims Court	Dade County Small Claims Court	f		1972-12-31	flasmclct
flasmclct4	ST	St. Lucie County Small Claims Court	St. Lucie County Small Claims Court	f		1972-12-31	flasmclct
fld	FD	District Court, D. Florida	D. Florida	f	1845-03-03	1847-02-23	usdistct
flmb	FB	United States Bankruptcy Court, M.D. Florida	M.D. Florida	t			
flmd	FD	District Court, M.D. Florida	M.D. Florida	t			usdistct
flnb	FB	United States Bankruptcy Court, N.D. Florida	N.D. Florida	t			
flnd	FD	District Court, N.D. Florida	N.D. Florida	t			usdistct
flsb	FB	United States Bankruptcy Court, S.D. Florida.	S.D. Florida	t			
flsd	FD	District Court, S.D. Florida	S.D. Florida	t			usdistct
ftmcdowctapp	TRA	Fort McDowell Yavapai Nation Tribal Court of Appeals	Fort McDowell Yavapai Nation Tribal Court of Appeals	t			
ftmcdowell	TRS	Fort McDowell Supreme Court	Fort McDowell Supreme Court	t			
ftpeckctapp	TRA	Fort Peck Appellate Court	Fort Peck Appellate Court	t			
ftpecktrialct	TRT	Fort Peck Tribal Court	Fort Peck Tribal Court	t			
ga	S	Supreme Court of Georgia	Supreme Court of Georgia	t	1841-01-01		
gactapp	SA	Court of Appeals of Georgia	Court of Appeals of Georgia	t	1906-11-06		
gad	FD	District Court, D. Georgia	D. Georgia	f	1789-09-24	1848-08-11	usdistct
gamb	FB	United States Bankruptcy Court, M.D. Georgia	M.D. Georgia	t			
gamd	FD	District Court, M.D. Georgia	M.D. Georgia	t			usdistct
ganb	FB	United States Bankruptcy Court, N.D. Georgia	N.D. Georgia	t			
gand	FD	District Court, N.D. Georgia	N.D. Georgia	t			usdistct
gaoyertermct	SS	Georgia Court of Oyer and Terminer	Georgia Court of Oyer and Terminer	f			
gasb	FB	United States Bankruptcy Court, S.D. Georgia	S.D. Georgia	t			
gasd	FD	District Court, S.D. Georgia	S.D. Georgia	t			usdistct
gasuperct	ST	Georgia Superior Court	Georgia Superior Court	f			
gasuperctburke	ST	Burke County Superior Court, Ga.	Burke County Superior Court, Ga.	f			gasuperct
gasuperctcarrol	ST	Carroll County Superior Court, Ga.	Carroll County Superior Court, Ga.	f			gasuperct
gasuperctchatha	ST	Chatham Superior Court, Ga.	Chatham Superior Court, Ga.	f			gasuperct
gasuperctclark	ST	Clark County Superior Court, Ga.	Clark County Superior Court, Ga.	f			gasuperct
gasuperctclarke	ST	Clarke County Superior Court, Ga.	Clarke County Superior Court, Ga.	f			gasuperct
gasuperctcobb	ST	Cobb County Superior Court, Ga.	Cobb County Superior Court, Ga.	f			gasuperct
gasuperctcolumb	ST	Columbia County Superior Court, Ga.	Columbia County Superior Court, Ga.	f			gasuperct
gasuperctcoweta	ST	Coweta County Superior Court, Ga.	Coweta County Superior Court, Ga.	f			gasuperct
gasuperctdecatu	ST	Decatur County Superior Court, Ga.	Decatur County Superior Court, Ga.	f			gasuperct
gasuperctdekalb	ST	DeKalb County Superior Court, Ga.	DeKalb County Superior Court, Ga.	f			gasuperct
gasuperctearl	ST	Early County Superior Court, Ga.	Early County Superior Court, Ga.	f			gasuperct
gasuperctelbert	ST	Elbert County Superior Court, Ga.	Elbert County Superior Court, Ga.	f			gasuperct
gasuperctfay	ST	Fayette Superior Court, Ga.	Fayette Superior Court, Ga.	f			gasuperct
gasuperctfrankl	ST	Franklin County Superior Court, Ga.	Franklin County Superior Court, Ga.	f			gasuperct
gasuperctgwin	ST	Gwinnett County Superior Court, Ga.	Gwinnett County Superior Court, Ga.	f			gasuperct
gasupercthabers	ST	Habersham County Superior Court, Ga.	Habersham County Superior Court, Ga.	f			gasuperct
gasupercthall	ST	Hall County Superior Court, Ga.	Hall County Superior Court, Ga.	f			gasuperct
gasupercthancoc	ST	Hancock County Superior Court, Ga.	Hancock County Superior Court, Ga.	f			gasuperct
gasuperctharris	ST	Harris County Superior Court, Ga.	Harris County Superior Court, Ga.	f			gasuperct
