id	jurisdiction	full_name	short_name	in_use	start_date	end_date	parent_court_id
texdistct331	ST	Texas 330th Judicial District Court	Tex. 330th Jud. Dist. Ct.	f			texdistct
texdistct332	ST	Texas 331st Judicial District Court	Tex. 331st Jud. Dist. Ct.	f			texdistct
texdistct333	ST	Texas 332nd Judicial District Court	Tex. 332nd Jud. Dist. Ct.	f			texdistct
texdistct334	ST	Texas 333rd Judicial District Court	Tex. 333rd Jud. Dist. Ct.	f			texdistct
texdistct335	ST	Texas 334th Judicial District Court	Tex. 334th Jud. Dist. Ct.	f			texdistct
texdistct336	ST	Texas 335th Judicial District Court	Tex. 335th Jud. Dist. Ct.	f			texdistct
texdistct337	ST	Texas 336th Judicial District Court	Tex. 336th Jud. Dist. Ct.	f			texdistct
texdistct338	ST	Texas 337th Judicial District Court	Tex. 337th Jud. Dist. Ct.	f			texdistct
texdistct339	ST	Texas 338th Judicial District Court	Tex. 338th Jud. Dist. Ct.	f			texdistct
texdistct34	ST	Texas 33rd Judicial District Court	Tex. 33rd Jud. Dist. Ct.	f			texdistct
texdistct340	ST	Texas 339th Judicial District Court	Tex. 339th Jud. Dist. Ct.	f			texdistct
texdistct341	ST	Texas 340th Judicial District Court	Tex. 340th Jud. Dist. Ct.	f			texdistct
texdistct342	ST	Texas 341st Judicial District Court	Tex. 341st Jud. Dist. Ct.	f			texdistct
texdistct343	ST	Texas 342nd Judicial District Court	Tex. 342nd Jud. Dist. Ct.	f			texdistct
texdistct344	ST	Texas 343rd Judicial District Court	Tex. 343rd Jud. Dist. Ct.	f			texdistct
texdistct345	ST	Texas 344th Judicial District Court	Tex. 344th Jud. Dist. Ct.	f			texdistct
texdistct346	ST	Texas 345th Judicial District Court	Tex. 345th Jud. Dist. Ct.	f			texdistct
texdistct347	ST	Texas 346th Judicial District Court	Tex. 346th Jud. Dist. Ct.	f			texdistct
texdistct348	ST	Texas 347th Judicial District Court	Tex. 347th Jud. Dist. Ct.	f			texdistct
texdistct349	ST	Texas 348th Judicial District Court	Tex. 348th Jud. Dist. Ct.	f			texdistct
texdistct35	ST	Texas 34th Judicial District Court	Tex. 34th Jud. Dist. Ct.	f			texdistct
texdistct350	ST	Texas 349th Judicial District Court	Tex. 349th Jud. Dist. Ct.	f			texdistct
texdistct351	ST	Texas 350th Judicial District Court	Tex. 350th Jud. Dist. Ct.	f			texdistct
texdistct352	ST	Texas 351st Judicial District Court	Tex. 351st Jud. Dist. Ct.	f			texdistct
texdistct353	ST	Texas 352nd Judicial District Court	Tex. 352nd Jud. Dist. Ct.	f			texdistct
texdistct354	ST	Texas 353rd Judicial District Court	Tex. 353rd Jud. Dist. Ct.	f			texdistct
texdistct355	ST	Texas 354th Judicial District Court	Tex. 354th Jud. Dist. Ct.	f			texdistct
texdistct356	ST	Texas 355th Judicial District Court	Tex. 355th Jud. Dist. Ct.	f			texdistct
texdistct357	ST	Texas 356th Judicial District Court	Tex. 356th Jud. Dist. Ct.	f			texdistct
texdistct358	ST	Texas 357th Judicial District Court	Tex. 357th Jud. Dist. Ct.	f			texdistct
texdistct359	ST	Texas 358th Judicial District Court	Tex. 358th Jud. Dist. Ct.	f			texdistct
texdistct36	ST	Texas 35th Judicial District Court	Tex. 35th Jud. Dist. Ct.	f			texdistct
texdistct360	ST	Texas 359th Judicial District Court	Tex. 359th Jud. Dist. Ct.	f			texdistct
texdistct361	ST	Texas 360th Judicial District Court	Tex. 360th Jud. Dist. Ct.	f			texdistct
texdistct362	ST	Texas 361st Judicial District Court	Tex. 361st Jud. Dist. Ct.	f			texdistct
texdistct363	ST	Texas 362nd Judicial District Court	Tex. 362nd Jud. Dist. Ct.	f			texdistct
texdistct364	ST	Texas 363rd Judicial District Court	Tex. 363rd Jud. Dist. Ct.	f			texdistct
texdistct365	ST	Texas 364th Judicial District Court	Tex. 364th Jud. Dist. Ct.	f			texdistct
texdistct366	ST	Texas 365th Judicial District Court	Tex. 365th Jud. Dist. Ct.	f			texdistct
texdistct367	ST	Texas 366th Judicial District Court	Tex. 366th Jud. Dist. Ct.	f			texdistct
texdistct368	ST	Texas 367th Judicial District Court	Tex. 367th Jud. Dist. Ct.	f			texdistct
texdistct369	ST	Texas 368th Judicial District Court	Tex. 368th Jud. Dist. Ct.	f			texdistct
texdistct37	ST	Texas 36th Judicial District Court	Tex. 36th Jud. Dist. Ct.	f			texdistct
texdistct370	ST	Texas 369th Judicial District Court	Tex. 369th Jud. Dist. Ct.	f			texdistct
texdistct371	ST	Texas 370th Judicial District Court	Tex. 370th Jud. Dist. Ct.	f			texdistct
texdistct372	ST	Texas 371st Judicial District Court	Tex. 371st Jud. Dist. Ct.	f			texdistct
texdistct373	ST	Texas 372nd Judicial District Court	Tex. 372nd Jud. Dist. Ct.	f			texdistct
texdistct374	ST	Texas 373rd Judicial District Court	Tex. 373rd Jud. Dist. Ct.	f			texdistct
texdistct375	ST	Texas 374th Judicial District Court	Tex. 374th Jud. Dist. Ct.	f			texdistct
texdistct376	ST	Texas 375th Judicial District Court	Tex. 375th Jud. Dist. Ct.	f			texdistct
texdistct377	ST	Texas 376th Judicial District Court	Tex. 376th Jud. Dist. Ct.	f			texdistct
texdistct378	ST	Texas 377th Judicial District Court	Tex. 377th Jud. Dist. Ct.	f			texdistct
texdistct379	ST	Texas 378th Judicial District Court	Tex. 378th Jud. Dist. Ct.	f			texdistct
texdistct38	ST	Texas 37th Judicial District Court	Tex. 37th Jud. Dist. Ct.	f			texdistct
texdistct380	ST	Texas 379th Judicial District Court	Tex. 379th Jud. Dist. Ct.	f			texdistct
texdistct381	ST	Texas 380th Judicial District Court	Tex. 380th Jud. Dist. Ct.	f			texdistct
texdistct382	ST	Texas 381st Judicial District Court	Tex. 381st Jud. Dist. Ct.	f			texdistct
texdistct383	ST	Texas 382nd Judicial District Court	Tex. 382nd Jud. Dist. Ct.	f			texdistct
texdistct384	ST	Texas 383rd Judicial District Court	Tex. 383rd Jud. Dist. Ct.	f			texdistct
texdistct385	ST	Texas 384th Judicial District Court	Tex. 384th Jud. Dist. Ct.	f			texdistct
texdistct386	ST	Texas 385th Judicial District Court	Tex. 385th Jud. Dist. Ct.	f			texdistct
texdistct387	ST	Texas 386th Judicial District Court	Tex. 386th Jud. Dist. Ct.	f			texdistct
texdistct388	ST	Texas 387th Judicial District Court	Tex. 387th Jud. Dist. Ct.	f			texdistct
texdistct389	ST	Texas 388th Judicial District Court	Tex. 388th Jud. Dist. Ct.	f			texdistct
texdistct39	ST	Texas 38th Judicial District Court	Tex. 38th Jud. Dist. Ct.	f			texdistct
texdistct390	ST	Texas 389th Judicial District Court	Tex. 389th Jud. Dist. Ct.	f			texdistct
texdistct391	ST	Texas 390th Judicial District Court	Tex. 390th Jud. Dist. Ct.	f			texdistct
texdistct392	ST	Texas 391st Judicial District Court	Tex. 391st Jud. Dist. Ct.	f			texdistct
texdistct393	ST	Texas 392nd Judicial District Court	Tex. 392nd Jud. Dist. Ct.	f			texdistct
texdistct394	ST	Texas 393rd Judicial District Court	Tex. 393rd Jud. Dist. Ct.	f			texdistct
texdistct395	ST	Texas 394th Judicial District Court	Tex. 394th Jud. Dist. Ct.	f			texdistct
texdistct396	ST	Texas 395th Judicial District Court	Tex. 395th Jud. Dist. Ct.	f			texdistct
texdistct397	ST	Texas 396th Judicial District Court	Tex. 396th Jud. Dist. Ct.	f			texdistct
texdistct398	ST	Texas 397th Judicial District Court	Tex. 397th Jud. Dist. Ct.	f			texdistct
texdistct399	ST	Texas 398th Judicial District Court	Tex. 398th Jud. Dist. Ct.	f			texdistct
texdistct4	ST	Texas 3rd Judicial District Court	Tex. 3rd Jud. Dist. Ct.	f			texdistct
texdistct40	ST	Texas 39th Judicial District Court	Tex. 39th Jud. Dist. Ct.	f			texdistct
texdistct400	ST	Texas 399th Judicial District Court	Tex. 399th Jud. Dist. Ct.	f			texdistct
